District_Name,SCHOOL,Gender,2011,2012,2013,2014,2015
AMUDAT,POKOT SECONDARY SCHOOL,FEMALE,,3,8,2,1
AMUDAT,,MALE,,8,14,9,4
PADER,ARCHBP.FLYNN SECONDARY SCHOOL,FEMALE,,,,,14
PADER,,MALE,,,,,22
PADER,PADER TOWN HALL LAGWAI SEED SS,FEMALE,3,4,10,3,3
PADER,,MALE,17,22,32,18,10
PADER,PAJULE SECONDARY SCHOOL,FEMALE,,5,16,4,2
PADER,,MALE,,19,58,28,26
SERERE,KAMOD SECONDARY SCHOOL,FEMALE,,,4,3,4
SERERE,,MALE,,,38,19,18
SERERE,KYERE SECONDARY SCHOOL,FEMALE,,1,8,1,2
SERERE,,MALE,,17,34,15,12
SERERE,KYERE TOWNSHIP SECONDARY SCHOOL,FEMALE,,,2,,
SERERE,,MALE,,,22,19,
SERERE,SERERE SECONDARY SCHOOL,FEMALE,7,4,18,5,6
SERERE,,MALE,34,41,54,21,32
SERERE,SERERE TOWNSHIP SECONDARY SCHOOL,FEMALE,,,6,4,5
SERERE,,MALE,,,50,14,31
SERERE,"ST.ELIZABETH'S GIRLS,KIDETOK",FEMALE,5,6,64,39,18
SERERE,,MALE,6,32,,2,
SERERE,"SUNRISE HIGH SCHOOL,SERERE",FEMALE,,,,,4
SERERE,,MALE,,,,,27
RUBIRIZI,ARCHBISHOP BAKYENGA VOCATIONAL SS,FEMALE,,3,10,2,3
RUBIRIZI,,MALE,,20,28,11,17
RUBIRIZI,KATERERA COMPREHENSIVE HIGH SCHOOL,FEMALE,,,18,3,3
RUBIRIZI,,MALE,,,44,16,15
RUBIRIZI,KICHWAMBA HIGH SCHOOL,FEMALE,,7,28,25,31
RUBIRIZI,,MALE,,15,46,33,45
RUBIRIZI,KIRUGU SECONDARY SCHOOL,FEMALE,,,6,1,2
RUBIRIZI,,MALE,,,18,10,9
RUBIRIZI,NDEKYE SECONDARY SCHOOL,FEMALE,2,10,28,12,6
RUBIRIZI,,MALE,18,34,98,34,10
RUBIRIZI,RYERU SCHOOL,FEMALE,41,34,68,8,21
RUBIRIZI,,MALE,34,23,58,24,21
RUBIRIZI,"ST.MICHAEL HIGH SCHOOL,RUGAZI",FEMALE,6,10,24,12,7
RUBIRIZI,,MALE,23,27,58,16,20
MITYANA,BUSUJJU SECONDARY SCHOOL,FEMALE,14,7,8,4,2
MITYANA,,MALE,15,5,18,8,8
MITYANA,BUSUUBIZI SECONDARY SCHOOL,FEMALE,20,,10,8,9
MITYANA,,MALE,12,,10,14,7
MITYANA,"CENTRAL COLLEGE,MITYANA",FEMALE,135,144,302,152,159
MITYANA,,MALE,208,196,428,256,258
MITYANA,"GLORY HIGH SCHOOL,MITYANA",FEMALE,17,5,12,5,11
MITYANA,,MALE,32,21,24,5,23
MITYANA,"HILLSIDE COLLEGE,MITYANA",FEMALE,,9,34,11,20
MITYANA,,MALE,,15,48,25,37
MITYANA,KALANGAALO SECONDARY SCHOOL,FEMALE,7,5,18,10,16
MITYANA,,MALE,9,7,26,20,26
MITYANA,KING FAISAL BBUYE ISLAMIC SS,FEMALE,,4,60,24,38
MITYANA,,MALE,,24,68,26,42
MITYANA,KIRYOKYA PARENTS SECONDARY SCHOOL,FEMALE,22,21,86,37,25
MITYANA,,MALE,24,25,78,29,22
MITYANA,KIWAWU SECONDARY SCHOOL,FEMALE,13,29,24,17,9
MITYANA,,MALE,11,24,62,20,22
MITYANA,"LEGACY SECONDARY SCHOOL,KIWAWU",FEMALE,,,,,6
MITYANA,,MALE,,,,,4
MITYANA,"MITYANA COLLEGE,KIKUMBI",FEMALE,,11,32,9,10
MITYANA,,MALE,,19,68,17,13
MITYANA,MITYANA HALL,FEMALE,19,20,36,19,17
MITYANA,,MALE,24,25,62,23,13
MITYANA,MITYANA MODERN SECONDARY SCHOOL,FEMALE,45,24,94,47,32
MITYANA,,MALE,56,60,114,81,72
MITYANA,MITYANA SECONDARY SCHOOL,FEMALE,132,125,254,90,95
MITYANA,,MALE,167,186,282,114,129
MITYANA,MITYANA STANDARD SECONDARY SCHOOL,FEMALE,21,26,32,19,21
MITYANA,,MALE,24,31,66,21,30
